StatePopulation
California,38802500
Texas,26956958
Florida,19893297
New York,19746227
Illinois,12880580
Pennsylvania,12787209
Ohio,11594163
Georgia,10097343
North Carolina,9943964
Michigan,9909877
New Jersey,8938175
Virginia,8326289
Washington,7061530
Massachusetts,6745408
Arizona,6731484
Indiana,6596855
Tennessee,6549352
Missouri,6063589
Maryland,5976407
Wisconsin,5757564
Minnesota,5457173
Colorado,5355856
Alabama,4849377
South Carolina,4832482
Louisiana,4649676
Kentucky,4413457
Oregon,3970239
Oklahoma,3878051
Connecticut,3596677
Iowa,3107126
Arkansas,2994079
Mississippi,2984926
Utah,2942902
Kansas,2904021
Nevada,2839099
New Mexico,2085572
Nebraska,1881503
West Virginia,1850326
Idaho,1634464
Hawaii,1419561
Maine,1330089
New Hampshire,1326813
Rhode Island,1055173
Montana,1023579
Delaware,935614
South Dakota,853175
North Dakota,739482
Alaska,737732
Vermont,626011
Wyoming,584153
World,7292300000
China,1357000000
India,1252000000
United States,320832000
Indonesia,2499000000
Brazil,200400000
Pakistan,191463000
Nigeria,173600000
Bangladesh,156600000
Russia,143500000
Japan,127300000
Mexico,122300000
Philippines,98390000
Egypt,88188000
Vietnam,897000000
Ethiopia,94100000
Germany,80620000
Iran,80175000
Turkey,76667864
Thailand,69519000
Democratic Republic of the Congo,67758000
France,65821885
United Kingdom,64596800
Italy,60705991
South Africa,50586757
Myanmar,48337000
South Korea,48219000
Colombia,48418000
Spain,46162024
Ukraine,45668028
Tanzania,43188000
Argentina,40117096
Kenya,38610097
Poland,38092000
Algeria,36300000
Canada,34482779
Uganda,32939800
Morocco,33822700
Afghanistan,32358000
Iraq,32105000
Sudan,30894000
Venezuela,31244000
Peru,29797694
Malaysia,28334135
Uzbekistan,28000000
Saudi Arabia,27136977
Nepal,26620809
Ghana,24233431
North Korea,24052231
Yemen,23833000
Taiwan,23197947
Mozambique,23049621
Australia,24189858
Romania,21436000
Côte d'Ivoire,21395000
Syria,23389000
Sri Lanka,20653000
Angola,19618000
Cameroon,19406100
Madagascar,18866000
Chile,17248450
Netherlands,16715489
Kazakhstan,16615000
Burkina Faso,15730977
Niger,15730754
Guatemala,14713763
Mali,14517176
Ecuador,14483499
Cambodia,13395682
Malawi,13077160
Zambia,13046508
Senegal,12855153
Zimbabwe,12754000
Chad,10329208
Cuba,11241161
Belgium,10839905
Greece,10787690
Tunisia,10673800
Portugal,10555853
Czech Republic,10542080
Bolivia,10426154
Rwanda,10412826
Guinea,10217591
Haiti,10085214
Hungary,9985722
Somalia,9557000
Sweden,9471174
Belarus,9468000
Dominican Republic,9378818
Azerbaijan,9111100
Benin,9100000
Burundi,8575000
Austria,8419776
United Arab Emirates,8264070
South Sudan,8260490
Honduras,8215313
Switzerland,8039060
Israel,7798600
Tajikistan,7616000
Bulgaria,7364570
Serbia,7120666
Hong Kong,7108100
Papua New Guinea,7014000
Libya,6423000
Laos,6348800
Paraguay,6337127
Jordan,6790800
El Salvador,6227000
Sierra Leone,5997000
Nicaragua,5815524
Togo,5753324
Denmark,5579204
Kyrgyzstan,5477600
Slovakia,5437126
Eritrea,5415000
Finland,5394389
Norway,5321300
Singapore,5183700
Turkmenistan,5105000
Ireland,4581269
New Zealand,4579100
Costa Rica,4563539
Central African Republic,4487000
Croatia,4290612
Lebanon,4259000
Palestine,4168858
Republic of the Congo,4140000
Bosnia and Herzegovina,3843126
Puerto Rico,3725789
Moldova,3560400
Liberia,3476608
Panama,3405813
Uruguay,3368595
Mauritania,3340627
Armenia,3266300
Lithuania,3207100
Albania,3194972
Kuwait,2818000
Oman,2773479
Mongolia,2736800
Jamaica,2705800
Namibia,2324000
Latvia,2209000
Lesotho,2194000
Macedonia,2057284
Slovenia,2082020
Botswana,2031000
The Gambia,1776000
Qatar,1699435
Gabon,1534000
Guinea-Bissau,1520830
Estonia,1340194
Trinidad and Tobago,1317714
Mauritius,1280924
Bahrain,1234571
Swaziland,1203000
Timor-Leste,1066409
Fiji,868000
Djibouti,818159
Cyprus,803200
Guyana,784894
Equatorial Guinea,720000
Bhutan,708265
Montenegro Montenegro,620029
Western Sahara,548000
Solomon Islands,542287
Suriname,529000
Luxembourg,511840
Cape Verde,491575
Brunei,422700
Malta Malta,417617
Bahamas,353658
Iceland,318452
Maldives,317280
Belize,312698
Barbados,276302
French Polynesia,274000
Vanuatu,234023
French Guiana,219266
Samoa,184032
São Tomé and Príncipe,169000
Saint Lucia,166526
Guam,159358
